keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
cherry bakelite necklace,amber_core,170,HIGH,100,0.09,0.41,amber_general
contemporary amber jewellery,amber_core,170,MEDIUM,52,0.0,0.0,amber_general
drop amber earrings,amber_core,170,HIGH,100,0.35,1.31,amber_general
infant amber bracelet,amber_core,170,HIGH,100,0.27,1.09,amber_general
infant baltic amber teething necklace,amber_core,170,HIGH,100,0.69,2.54,amber_general
modern amber jewellery,amber_core,170,MEDIUM,52,0.0,0.0,amber_general
rachel amber earring,amber_core,170,MEDIUM,45,0.19,0.39,amber_general
small amber ring,amber_core,170,MEDIUM,51,0.0,0.0,amber_general
vintage baltic amber necklace,amber_core,170,HIGH,99,0.07,0.55,amber_general
white amber pendant,amber_core,170,LOW,31,0.0,0.0,amber_general
amber ring with bug,amber_core,170,HIGH,99,0.18,1.01,amber_types
cognac amber,amber_core,170,HIGH,81,0.0,0.0,amber_types
teething neck,amber_core,170,HIGH,100,0.26,1.23,amber_types
victorian amber necklace,amber_core,170,HIGH,73,0.0,0.0,amber_types
caribbean green amber,amber_core,170,LOW,21,0.0,0.0,amber_colors
raw baltic amber necklace,amber_core,140,HIGH,100,0.59,2.24,amber_general
baltic necklaces,amber_core,140,HIGH,100,0.89,5.16,amber_general
real amber necklace,amber_core,140,HIGH,100,0.4,1.4,amber_general
amber bead bracelet,amber_core,140,HIGH,100,0.28,1.65,amber_general
baltic amber necklace for adults,amber_core,140,HIGH,100,0.32,1.36,amber_general
amber jewelry near me,amber_core,140,HIGH,97,0.49,3.03,amber_general
hazelwood necklace,amber_core,140,HIGH,100,0.7,3.28,amber_general
amber crystal necklace,amber_core,140,HIGH,91,0.0,0.0,amber_general
green amber necklace,amber_core,140,HIGH,91,0.0,0.0,amber_general
amber heart necklace,amber_core,140,HIGH,98,0.28,1.46,amber_general
canyon leaf necklace,amber_core,140,HIGH,100,1.22,5.18,amber_general
amber diamond ring,amber_core,140,HIGH,100,0.9,3.11,amber_general
amber and diamond ring,amber_core,140,HIGH,100,0.9,3.11,amber_general
amber jewelry with insects,amber_core,140,HIGH,100,0.17,0.68,amber_general
amber heart pendant,amber_core,140,HIGH,100,0.19,0.46,amber_general
large amber necklace,amber_core,140,HIGH,100,0.09,0.55,amber_general
blue amber ring,amber_core,140,HIGH,100,0.13,1.05,amber_general
large amber earrings,amber_core,140,HIGH,97,0.13,0.74,amber_general
amber sun necklace,amber_core,140,HIGH,100,0.48,1.26,amber_general
natural baltic amber necklace,amber_core,140,HIGH,96,0.0,0.0,amber_general
