keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
aquamarine bracelet,expansion,2900,HIGH,100,0.73,2.87,gemstone
emerald tennis bracelet,expansion,2900,HIGH,100,1.3,5.87,gemstone
sapphire tennis bracelet,expansion,2900,HIGH,100,1.03,4.7,gemstone
garnet bracelet,expansion,2900,HIGH,100,0.55,2.17,gemstone
citrine bracelet,expansion,2900,HIGH,100,0.43,1.65,gemstone
diamond and sapphire engagement ring,expansion,2900,HIGH,100,1.2,4.74,gemstone
fire opal ring,expansion,2900,HIGH,100,0.43,1.8,gemstone
emerald green ring,expansion,2900,HIGH,100,0.74,3.21,gemstone
black tourmaline necklace,expansion,2900,HIGH,100,0.38,1.33,gemstone
family birthstone ring,expansion,2900,HIGH,100,0.68,3.34,gemstone
november birthstone ring,expansion,2900,HIGH,100,0.44,1.68,gemstone
carnelian necklace,expansion,2900,HIGH,100,0.39,1.26,gemstone
november birthstone jewelry,expansion,2900,HIGH,100,0.65,2.51,gemstone
amethyst wedding ring,expansion,2900,HIGH,100,0.76,2.66,gemstone
pandora birthstone ring,expansion,2900,HIGH,100,0.33,0.88,gemstone
lapis lazuli ring,expansion,2900,HIGH,100,0.32,1.57,gemstone
opal diamond ring,expansion,2900,HIGH,100,0.67,2.82,gemstone
moss agate wedding ring,expansion,2900,HIGH,100,1.02,3.33,gemstone
two stone ring,expansion,2900,HIGH,100,0.97,3.33,gemstone
mens black onyx ring,expansion,2900,HIGH,100,0.34,1.7,gemstone
september birthstone jewelry,expansion,2900,HIGH,100,0.67,2.79,gemstone
tigers eye necklace,expansion,2900,HIGH,100,0.35,1.25,gemstone
garnet birthstone ring,expansion,2900,HIGH,100,0.57,2.69,gemstone
tiger eye ring,expansion,2900,HIGH,100,0.3,1.23,gemstone
semi precious stone jewellery,expansion,2900,HIGH,100,0.36,1.44,gemstone
diamond and opal ring,expansion,2900,HIGH,100,0.67,2.82,gemstone
women's garnet ring,expansion,2900,HIGH,100,0.43,2.18,gemstone
ring with two birthstones,expansion,2900,HIGH,100,0.87,2.97,gemstone
pink quartz bracelet,expansion,2900,HIGH,100,0.42,1.54,gemstone
sapphire and diamond wedding ring,expansion,2900,HIGH,100,1.2,4.74,gemstone
yellow topaz jewellery,expansion,2900,HIGH,96,0.44,2.28,gemstone
white opal jewellery,expansion,2900,HIGH,99,0.33,1.68,gemstone
semi precious gemstone jewelry,expansion,2900,HIGH,100,0.36,1.44,gemstone
lapis stone ring,expansion,2900,HIGH,100,0.32,1.57,gemstone
birthstone earrings,expansion,2900,HIGH,100,0.7,3.17,birthstone
mothers ring 4 stones,expansion,2900,HIGH,100,0.41,2.59,birthstone
blue topaz earrings,expansion,2900,HIGH,100,0.63,3.93,birthstone
initial and birthstone necklace,expansion,2900,HIGH,100,0.94,3.53,birthstone
initial necklace with birthstone,expansion,2900,HIGH,100,0.94,3.53,birthstone
two birthstone ring,expansion,2900,HIGH,100,0.87,2.97,birthstone
two stone birthstone ring,expansion,2900,HIGH,100,0.87,2.97,birthstone
ruby birthstone jewelry,expansion,2900,HIGH,100,0.74,3.92,birthstone
ruby birthstone bracelet,expansion,2900,HIGH,100,0.74,3.92,birthstone
kendra scott birthstone ring,expansion,2900,HIGH,100,0.39,1.23,birthstone
initial necklace and birthstone,expansion,2900,HIGH,100,0.94,3.53,birthstone
birthstone ring two stones,expansion,2900,HIGH,100,0.87,2.97,birthstone
nov birthstone ring,expansion,2900,HIGH,100,0.44,1.68,birthstone
birthstone november ring,expansion,2900,HIGH,100,0.44,1.68,birthstone
mothers 4 stone ring,expansion,2900,HIGH,100,0.41,2.59,birthstone
birthstone november jewellery,expansion,2900,HIGH,100,0.65,2.51,birthstone
pandora jewelry birthstone rings,expansion,2900,HIGH,100,0.33,0.88,birthstone
birthstone garnet ring,expansion,2900,HIGH,100,0.57,2.69,birthstone
sept birthstone jewelry,expansion,2900,HIGH,100,0.67,2.79,birthstone
eye of tiger necklace,expansion,2900,HIGH,100,0.35,1.25,warm_stones
eye tiger ring,expansion,2900,HIGH,100,0.3,1.23,warm_stones
necklace carnelian,expansion,2900,HIGH,100,0.39,1.26,warm_stones
necklace tiger eye,expansion,2900,HIGH,100,0.35,1.25,warm_stones
ring tiger eye,expansion,2900,HIGH,100,0.3,1.23,warm_stones
necklaces for infants,amber_core,2400,HIGH,100,0.4,1.27,amber_general
tanzanite necklace,expansion,2400,HIGH,100,0.66,3.83,gemstone
birthstone necklace for grandma,expansion,2400,HIGH,100,0.96,4.56,gemstone
december birthstone necklace,expansion,2400,HIGH,100,0.59,2.46,gemstone
garnet engagement ring,expansion,2400,HIGH,100,0.8,3.73,gemstone
peridot engagement ring,expansion,2400,HIGH,100,0.94,3.77,gemstone
green sapphire ring,expansion,2400,HIGH,100,0.74,2.96,gemstone
amethyst ring for women,expansion,2400,HIGH,100,0.43,2.23,gemstone
sapphire necklace gold,expansion,2400,HIGH,100,0.87,4.84,gemstone
august birthstone ring,expansion,2400,HIGH,100,0.43,1.72,gemstone
two birthstone necklace,expansion,2400,HIGH,100,1.18,4.6,gemstone
gemstone earrings,expansion,2400,HIGH,100,0.6,2.13,gemstone
